,e_enzyme,e_enzyme_composition_string,m_reaction
2427,ABC-9-CPLX,b4287(2) AND b4290(1) AND b4288(1) AND b4289(1),FE3DCITabcpp
2428,ABC-64-CPLX,b0365(1) AND b0366(2) AND b0367(2),TAURabcpp
2429,XAPB-MONOMER,b2406(1),ADNt2rpp
2430,CPDB-MONOMER,b4213(1),23PDE7pp
2431,MONOMER0-341,b3821(1),PLIPA2E181pp
2432,CPLX0-7533,b2215(3),23CUMPtex
2433,CPLX0-7530,b0241(3),23CUMPtex
2434,G6700-MONOMER,b1377(1),23CUMPtex
2435,CPLX0-7534,b0929(3),23CUMPtex
2436,EG12267-MONOMER,b3546(1),PETNT181pp
2437,PHOSMANMUT-MONOMER,b2048(1),PMANM
2438,PITA-MONOMER,b3493(1),PIt2rpp
2439,PITB-MONOMER,b2987(1),PIt2rpp
2440,CPLX-165,b2415(1) AND b1818(2) AND b2416(2) AND b1817(1) AND b1819(1),ACMANAptspp
2441,CPLX0-322,b0477(2),GSNK
2442,MALATE-DEHASE,b3236(2),MDH
2443,AROE-MONOMER,b3281(1),SHK3Dr
2444,CPLX0-7462,b1692(2),SHK3Dr
2445,ASPAMINOTRANS-DIMER,b0928(2),TYRTA
2446,TYRB-DIMER,b4054(2),TYRTA
2447,ASPKINIIHOMOSERDEHYDROGII-CPLX,b3940(2),ASPK
2448,ASPKINIHOMOSERDEHYDROGI-CPLX,b0002(4),ASPK
2449,ASPKINIII-CPLX,b4024(2),ASPK
2450,ASPARTASE-CPLX,b4139(4),ASPT
2451,EG12455-MONOMER,b2835(1),2AGPA180tipp
2452,EG10739-MONOMER,b3825(1),LPLIPAL2ATE180
2453,GLUCONREDUCT-MONOMER,b4266(1),5DGLCNR
2454,APP-UBIOX-CPLX,b0978(1) AND b0979(1),CYTBDpp
2455,CYT-D-UBIOX-CPLX,b0733(1) AND b0734(1),CYTBDpp
2456,GTP-CYCLOHYDRO-II-CPLX,b1277(2),GTPCII2
2457,MONOMER0-341,b3821(1),PLIPA1G141pp
2458,CORA-MONOMER,b3816(1),MG2tpp
2459,UHPT-MONOMER,b3666(1),MAN6Pt6_2pp
2460,MONOMER0-341,b3821(1),PLIPA1G181pp
2461,UDPNACETYLMURAMATEDEHYDROG-MONOMER,b3972(1),UAPGR
2462,DEOA-CPLX,b4382(2),TMDPP
2463,CPLX0-7788,b2146(2) AND b2147(2),DURADx
2464,SULFITE-REDUCT-CPLX,b2764(8) AND b2763(4),FADRx2
2465,CPLX0-234,b2747(2),MEPCT
2466,ABC-26-CPLX,b2678(2) AND b2677(2) AND b2679(1),PROabcpp
2467,MALTACETYLTRAN-CPLX,b0459(2),MALTATr
2468,CPLX0-3936,b3058(8),DHNPTE
2469,NHAB-MONOMER,b1186(1),NAt3_1p5pp
2470,CPLX0-1942,b1252() AND b0150() AND b3005() AND b3006(),FE3HOXtonex
2471,G7949-MONOMER,b4367(1),FEOXAMR2
2472,G7949-MONOMER,b4367(1),FEOXAMR3
2473,G7949-MONOMER,b4367(1),FEOXAMR1
2474,YJCG-MONOMER,b4067(1),ACt4pp
2475,CPLX0-7533,b2215(3),H2O2tex
2476,CPLX0-7530,b0241(3),H2O2tex
2477,G6700-MONOMER,b1377(1),H2O2tex
2478,CPLX0-7534,b0929(3),H2O2tex
2479,CPLX0-7533,b2215(3),OROTtex
2480,CPLX0-7534,b0929(3),OROTtex
2481,CPLX0-7530,b0241(3),OROTtex
2482,G6700-MONOMER,b1377(1),OROTtex
2483,EG11373-MONOMER,b2558(1),MLTGY4pp
2484,G7410-MONOMER,b2701(1),MLTGY4pp
2485,G7457-MONOMER,b2813(1),MLTGY4pp
2486,EG10950-MONOMER,b4392(1),MLTGY4pp
2487,G7533-MONOMER,b2963(1),MLTGY4pp
2488,G6622-MONOMER,b1193(1),MLTGY4pp
2489,CPLX0-1221,b3397(2),ADPRDP
2490,CPLX0-3721,b3034(2),ADPRDP
2491,GPT-CPLX,b0238(4),HXPRT
2492,CPLX0-7685,b0125(4),HXPRT
2493,SUCCCOASYN,b0728(2) AND b0729(2),SUCOAS
2494,SPERMIDINESYN-CPLX,b0121(2),APCS
2495,DIMESULFREDUCT-CPLX,b0896(1) AND b0895(1) AND b0894(1),TMAOR2
2496,EG11167-MONOMER,b3040(1),FE2tpp
2497,ENTD-MONOMER,b0583(1),ENTCS
2498,CPLX0-3661,b3052(2),GMHEPAT
2499,EG11671-MONOMER,b2223(1),ACACt2pp
2500,MONOMER0-341,b3821(1),PLIPA1A180pp
2501,CPLX0-7630,b0494(4),LPLIPAL1A140pp
2502,PROPKIN-MONOMER,b3115(1),PPAKr
2503,ABC-26-CPLX,b2678(2) AND b2677(2) AND b2679(1),CTBTabcpp
2504,EG10280-MONOMER,b2344(1),DDCAtexi
2505,HISTCYCLOPRATPPHOS,b2026(1),PRAMPC
2506,CPLX-722,b0980(2),NTP3pp
2507,XASA-MONOMER,b1492(1),GLUABUTt7pp
2508,CPLX-7,b3502(2),ASO3t8pp
2509,ACSERLYB-CPLX,b2421(2),CYSS
2510,ACSERLYA-CPLX,b2414(2),CYSS
2511,AAS-MONOMER,b2836(1),2AGPGAT160
2512,EG11671-MONOMER,b2223(1),HEXt2rpp
2513,G6880-MONOMER,b1640(1),ANHMK
2514,G6188-MONOMER,b0323(1),CBMKr
2515,G7493-MONOMER,b2874(1),CBMKr
2516,EG12384-MONOMER,b0521(1),CBMKr
2517,APO-ENTB,b0595(5),ICHORT
2518,XAPB-MONOMER,b2406(1),INSt2rpp
2519,CPLX0-7533,b2215(3),DCAtex
2520,CPLX0-7530,b0241(3),DCAtex
2521,G6700-MONOMER,b1377(1),DCAtex
2522,CPLX0-7534,b0929(3),DCAtex
2523,ANSP-MONOMER,b1453(1),ASNt2rpp
2524,CPLX0-721,b2746(3),MECDPS
2525,CPLX0-7533,b2215(3),NACtex
2526,CPLX0-7530,b0241(3),NACtex
2527,G6700-MONOMER,b1377(1),NACtex
2528,CPLX0-7534,b0929(3),NACtex
2529,CPLX0-7533,b2215(3),ACALDtex
2530,CPLX0-7530,b0241(3),ACALDtex
2531,G6700-MONOMER,b1377(1),ACALDtex
2532,CPLX0-7534,b0929(3),ACALDtex
2533,AICARTRANSIMPCYCLO-CPLX,b4006(1),IMPC
2534,IMP-DEHYDROG-CPLX,b2508(4),IMPD
2535,MHPELY-MONOMER,b0352(1),HOPNTAL
2536,ABC-53-CPLX,b4261() AND b4262() AND b3201(2) AND b3199() AND b3200(),CLIPAabctex
2537,PSD-MONOMER,b4160(1),PSD161
2538,PPK-CPLX,b2501(4),PPKr
2539,IPPISOM-MONOMER,b2889(1),IPDDI
2540,DEOD-CPLX,b4384(6),DURIPP
2541,DEOA-CPLX,b4382(2),DURIPP
2542,CPLX0-7838,b2810(2),CYSSADS
2543,CPLX0-7838_CPLX0-7839,b2810(2) AND b2811(2),CYSSADS
2544,CYCA-MONOMER,b4208(1),DALAt2pp
2545,DIAMINOPIMDECARB-CPLX,b2838(4),DAPDC
2546,ENTF-MONOMER,b0586(1),SERASr
2547,CPLX0-7533,b2215(3),ISETACtex
2548,CPLX0-7530,b0241(3),ISETACtex
2549,G6700-MONOMER,b1377(1),ISETACtex
2550,CPLX0-7534,b0929(3),ISETACtex
2551,SPERMIDINESYN-CPLX,b0121(2),SPMS
2552,ASPCARBTRANS-CPLX,b4245(6) AND b4244(6),ASPCT
2553,ASPCARBCAT-TRIMER,b4245(3),ASPCT
2554,ATPSYN-CPLX_EG10106-MONOMER,b3736() AND b3731() AND b3735() AND b3739() AND b3734() AND b3733() AND b3738() AND b3737() AND b3732(),ATPS4rpp
2555,ATPSYN-CPLX,b3733(1) AND b3738(1) AND b3732(3) AND b3736(2) AND b3731(1) AND b3735(1) AND b3737(10) AND b3734(3),ATPS4rpp
2556,HCAT-MONOMER,b2536(1),PPPNt2rpp
2557,CPLX0-761,b2868() AND b2866() AND b2867(),XAND
2558,CPLX0-7533,b2215(3),ACGAM1Ptex
2559,CPLX0-7530,b0241(3),ACGAM1Ptex
2560,G6700-MONOMER,b1377(1),ACGAM1Ptex
2561,CPLX0-7534,b0929(3),ACGAM1Ptex
2562,G7841-MONOMER,b4161(1),NTP3
2563,G7841-MONOMER,b4161(1),NTP1
2564,G6357-MONOMER,b0650(1),NTP1
2565,DIACYLGLYKIN-CPLX,b4042(3),DAGK181
2566,DIACYLGLYKIN-CPLX,b4042(3),DAGK180
2567,CPLX0-7704,b0914(2),PA120abcpp
2568,CPLX0-7533,b2215(3),INSTtex
2569,CPLX0-7530,b0241(3),INSTtex
2570,G6700-MONOMER,b1377(1),INSTtex
2571,CPLX0-7534,b0929(3),INSTtex
2572,FUMARASE-C,b1611(4),FUM
2573,FUMARASE-B,b4122(2),FUM
2574,FUMARASE-A,b1612(2),FUM
2575,DIAMINOPIMEPIM-MONOMER,b3809(1),DAPE
2576,PUTP-MONOMER,b1015(1),PROt4pp
2577,RFFTRANS-MONOMER,b3791(1),TDPAGTA
2578,EXUT-MONOMER,b3093(1),GALURt2rpp
2579,NARK-MONOMER,b1223(1),NO3t7pp
2580,NARU-MONOMER,b1469(1),NO3t7pp
2581,CPLX0-7533,b2215(3),ABUTtex
2582,CPLX0-7530,b0241(3),ABUTtex
2583,G6700-MONOMER,b1377(1),ABUTtex
2584,CPLX0-7534,b0929(3),ABUTtex
2585,CPLX0-821,b3371(12),FRULYSDG
2586,RIBF-MONOMER,b0025(1),FMNAT
2587,GLYCPDIESTER-PERI-CPLX,b2239(2),GPDDA1pp
2588,G6425-MONOMER,b0822(1),F6PP
2589,G7458-MONOMER,b2817(1),AGM4PApp
2590,NACMURLALAAMI1-MONOMER,b2435(1),AGM4PApp
2591,NACMURLALAAMI2-MONOMER,b4169(1),AGM4PApp
2592,CPLX0-7533,b2215(3),GTHOXtex
2593,CPLX0-7530,b0241(3),GTHOXtex
2594,G6700-MONOMER,b1377(1),GTHOXtex
2595,CPLX0-7534,b0929(3),GTHOXtex
2596,G6245-MONOMER,b0444(1),CCGS
2597,3-ISOPROPYLMALISOM-CPLX,b0071(1) AND b0072(1),IPPMIb
2598,3-ISOPROPYLMALISOM-CPLX,b0071(1) AND b0072(1),IPPMIa
2599,CPLX0-7630,b0494(4),LPLIPAL1A141pp
2600,ABC-11-CPLX,b0152(1) AND b0151(2) AND b0153(2),FE3HOXabcpp
2601,SUCCGLUDESUCC-MONOMER,b1744(1),SGDS
2602,CPLX0-1667,b2342(),ACACT5r
2603,FADA-CPLX,b3845(2),ACACT5r
2604,ANSB-CPLX,b2957(4),ASNNpp
2605,FUMARATE-REDUCTASE,b4154(1) AND b4152(1) AND b4153(1) AND b4151(1),FRD2
2606,FUMARATE-REDUCTASE,b4154(1) AND b4152(1) AND b4153(1) AND b4151(1),FRD3
2607,CPLX0-7533,b2215(3),DMSOtex
2608,CPLX0-7530,b0241(3),DMSOtex
2609,G6700-MONOMER,b1377(1),DMSOtex
2610,CPLX0-7534,b0929(3),DMSOtex
2611,O-SUCCINYLBENZOATE-COA-SYN-MONOMER,b2261(1),SUCBZS
2612,OROPRIBTRANS-CPLX,b3642(2),ORPT
2613,G6661-MONOMER,b1325(1),ALAGLUE
2614,AROP-MONOMER,b0112(1),HISt2rpp
2615,TDPFUCACTRANS-MONOMER,b3790(1),TDPADGAT
2616,ABC-10-CPLX,b0592(1) AND b0589(1) AND b0590(1) AND b0588(2),FE3DHBZSabcpp
2617,MENE-CPLX,b2260(4),SUCBZL
2618,PHOSPHAGLYPSYN-MONOMER,b1912(1),PGSA120
2619,GRXB-MONOMER_EG12237-MONOMER,b1064() AND b3503(),ASR
2620,CPLX0-1669,b1701(2),FACOAL181t2pp
2621,ACYLCOASYN-CPLX,b1805(2),FACOAL181t2pp
2622,ARGSUCCTRAN-MONOMER,b1747(1),AST
2623,YJGT-MONOMER,b4265(1),5DGLCNt2rpp
2624,DCTA-MONOMER,b3528(1),OROTt2_2pp
2625,ADHC-CPLX,b0356(2),ALCD19
2626,ABC-42-CPLX,b4088(1) AND b4087(2) AND b4086(2),ALLabcpp
2627,CPLX0-7533,b2215(3),L_DASH_LACtex
2628,G6700-MONOMER,b1377(1),L_DASH_LACtex
2629,CPLX0-7530,b0241(3),L_DASH_LACtex
2630,CPLX0-7534,b0929(3),L_DASH_LACtex
2631,G7726-MONOMER,b3374(1),FRULYSK
2632,PPENTOMUT-MONOMER,b4383(1),PPM2
2633,CPLX0-3861,b4474(8),FRULYSE
2634,GALP-MONOMER,b2943(1),GLCt2pp
2635,CPLX0-7704,b0914(2),LIPAabcpp
2636,CPLX0-7533,b2215(3),GALCTNtex
2637,CPLX0-7530,b0241(3),GALCTNtex
2638,G6700-MONOMER,b1377(1),GALCTNtex
2639,CPLX0-7534,b0929(3),GALCTNtex
2640,IMIDHISTID-CPLX,b2022(2),IGPDH
2641,DTDPDEHYRHAMREDUCT-MONOMER,b2040(1),TDPDRR
2642,HISTCYCLOPRATPPHOS,b2026(1),PRATPP
2643,CPLX0-7533,b2215(3),MAN6Ptex
2644,CPLX0-7530,b0241(3),MAN6Ptex
2645,G6700-MONOMER,b1377(1),MAN6Ptex
2646,CPLX0-7534,b0929(3),MAN6Ptex
2647,ALDOSE1EPIM-MONOMER,b0756(1),GALM2pp
2648,LCTP-MONOMER,b3603(1),L_DASH_LACt2rpp
2649,B2975-MONOMER,b2975(1),L_DASH_LACt2rpp
2650,MHPHYDROXY-MONOMER,b0347(1),3HPPPNH
2651,MONOMER0-341,b3821(1),PLIPA1E140pp
2652,MONOMER0-341,b3821(1),PLIPA2G120pp
2653,CPLX0-7533,b2215(3),GAMtex
2654,CPLX0-7530,b0241(3),GAMtex
2655,G6700-MONOMER,b1377(1),GAMtex
2656,CPLX0-7534,b0929(3),GAMtex
2657,CPLX0-253,b3028(2),NADPHQR2
2658,THIOESTERII-CPLX,b0452(4),FACOAE181
2659,CPLX0-7704,b0914(2),PGP120abcpp
2660,UDPMANACATRANS-MONOMER,b3794(1),ACMAMUT
2661,CYTIDEAM-CPLX,b2143(2),CYTD
2662,NUCLEOSIDE-DIP-KIN-CPLX,b2518(4),NDPK8
2663,ADENYL-KIN-MONOMER,b0474(1),NDPK8
2664,CPLX0-1962,b1539(4),DSERDHr
2665,CHORISMUTPREPHENDEHYDROG-CPLX,b2600(2),PPND
2666,NUCLEOSIDE-DIP-KIN-CPLX,b2518(4),NDPK3
2667,ADENYL-KIN-MONOMER,b0474(1),NDPK3
2668,NUCLEOSIDE-DIP-KIN-CPLX,b2518(4),NDPK1
2669,ADENYL-KIN-MONOMER,b0474(1),NDPK1
2670,NUCLEOSIDE-DIP-KIN-CPLX,b2518(4),NDPK6
2671,ADENYL-KIN-MONOMER,b0474(1),NDPK6
2672,NUCLEOSIDE-DIP-KIN-CPLX,b2518(4),NDPK7
2673,ADENYL-KIN-MONOMER,b0474(1),NDPK7
2674,ABC-5-CPLX,b1709(2) AND b0158(1) AND b1711(2),ADOCBLabcpp
2675,NUCLEOSIDE-DIP-KIN-CPLX,b2518(4),NDPK5
2676,ADENYL-KIN-MONOMER,b0474(1),NDPK5
2677,CPLX0-7533,b2215(3),GLYC3Ptex
2678,CPLX0-7530,b0241(3),GLYC3Ptex
2679,G6700-MONOMER,b1377(1),GLYC3Ptex
2680,CPLX0-7534,b0929(3),GLYC3Ptex
2681,MONOMER0-341,b3821(1),PLIPA2E180pp
2682,CHAA-MONOMER,b1216(1),CA2t3pp
2683,METHGLYSYN-CPLX,b0963(6),MGSA
2684,APHA-CPLX,b4055(4),NTD9pp
2685,USHA-MONOMER,b0480(1),NTD9pp
2686,CPLX0-7533,b2215(3),NI2tex
2687,CPLX0-7530,b0241(3),NI2tex
2688,G6700-MONOMER,b1377(1),NI2tex
2689,CPLX0-7534,b0929(3),NI2tex
2690,URAA-MONOMER,b2497(1),URAt2pp
2691,ABC-13-CPLX,b0655() AND b0654() AND b0653() AND b0652(),ASPabcpp
2692,CPLX-7524,b0516(2),ALLTAMH
2693,MANNPGUANYLTRANGDP-MONOMER,b2049(1),MAN1PT2
2694,SIROHEMESYN-CPLX,b3368(2),SHCHD2
2695,AAS-MONOMER,b2836(1),2AGPGAT161
2696,AAS-MONOMER,b2836(1),2AGPEAT141
2697,AAS-MONOMER,b2836(1),2AGPEAT140
2698,CPLX0-7533,b2215(3),DIMPtex
2699,CPLX0-7530,b0241(3),DIMPtex
2700,G6700-MONOMER,b1377(1),DIMPtex
2701,CPLX0-7534,b0929(3),DIMPtex
2702,CPLX0-7533,b2215(3),THRPtex
2703,CPLX0-7530,b0241(3),THRPtex
2704,G6700-MONOMER,b1377(1),THRPtex
2705,CPLX0-7534,b0929(3),THRPtex
2706,GLYOHMETRANS-CPLX,b2551(2),GHMT2r
2707,KDOTRANS-MONOMER,b3633(1),MOAT2
2708,CPLX0-7533,b2215(3),MANtex
2709,CPLX0-7530,b0241(3),MANtex
2710,G6700-MONOMER,b1377(1),MANtex
2711,CPLX0-7534,b0929(3),MANtex
2712,ABC-4-CPLX,b0864(2) AND b0862(1) AND b0863(1) AND b0860(1) AND b0861(1),ARGabcpp
2713,ABC-3-CPLX,b2308(1) AND b2310(1) AND b2307(1) AND b2306(2),ARGabcpp
2714,3-ISOPROPYLMALDEHYDROG-CPLX,b0073(2),IPMD
2715,THIC-MONOMER,b3994(1),AMPMS2
2716,EG10739-MONOMER,b3825(1),LPLIPAL2ATE120
2717,CPLX0-7564,b0029(2),IPDPS
2718,THIOESTERII-CPLX,b0452(4),FACOAE180
2719,SULFITE-REDUCT-CPLX,b2764(8) AND b2763(4),SULRi
2720,MONOMER0-341,b3821(1),PLIPA1E181pp
2721,ABC-32-CPLX,b0067(2) AND b0066(2) AND b0068(1),THMabcpp
2722,GAPDH-A-CPLX,b1779(4),GAPD
2723,EG10739-MONOMER,b3825(1),LPLIPAL2G160
2724,EG10739-MONOMER,b3825(1),LPLIPAL2G161
2725,CPLX0-7533,b2215(3),GMPtex
2726,CPLX0-7530,b0241(3),GMPtex
2727,CPLX0-7534,b0929(3),GMPtex
2728,G6700-MONOMER,b1377(1),GMPtex
2729,PROTOHEME-FERROCHELAT-MONOMER,b0475(1),FCLT
2730,CPLX0-7533,b2215(3),3HPPtex
2731,CPLX0-7534,b0929(3),3HPPtex
2732,CPLX0-7530,b0241(3),3HPPtex
2733,G6700-MONOMER,b1377(1),3HPPtex
2734,CPLX0-7533,b2215(3),GLCtex
2735,CPLX0-7530,b0241(3),GLCtex
2736,G6700-MONOMER,b1377(1),GLCtex
2737,CPLX0-7534,b0929(3),GLCtex
2738,CPLX0-7533,b2215(3),CU2tex
2739,CPLX0-7530,b0241(3),CU2tex
2740,G6700-MONOMER,b1377(1),CU2tex
2741,CPLX0-7534,b0929(3),CU2tex
2742,GMP-REDUCT-CPLX,b0104(4),GMPR
2743,CPLX0-7533,b2215(3),MEOHtex
2744,CPLX0-7534,b0929(3),MEOHtex
2745,CPLX0-7530,b0241(3),MEOHtex
2746,G6700-MONOMER,b1377(1),MEOHtex
2747,YGFO-MONOMER,b2882(1),XANt2pp
2748,YICE-MONOMER,b3654(1),XANt2pp
2749,CPDB-MONOMER,b4213(1),3NTD2pp
2750,CPLX0-7704,b0914(2),PA140abcpp
2751,FOLXTET-CPLX,b2303(8),DHPTPE
2752,THREDEHYDSYN-CPLX,b3772(4),THRD_L
2753,THREDEHYDCAT-CPLX,b3117(4),THRD_L
2754,GLYOXII-MONOMER,b0212(1),GLYOX
2755,CMR-MONOMER,b0842(1),NAt3pp
2756,CHAA-MONOMER,b1216(1),NAt3pp
2757,CPLX0-7533,b2215(3),THRtex
2758,CPLX0-7530,b0241(3),THRtex
2759,G6700-MONOMER,b1377(1),THRtex
2760,CPLX0-7534,b0929(3),THRtex
2761,PGPPHOSPHAB-MONOMER,b1278(1),PAPA120
2762,G6621-MONOMER,b1192(1),AGM4PCP
2763,ABC-6-CPLX,b0887(2) AND b0886(2),CYSabc2pp
2764,CPLX0-7794,b3882(4),GHBDHx
2765,KGTP-MONOMER,b2587(1),AKGt2rpp
2766,G6275-MONOMER,b0505(1),UGLYCH
2767,ARABISOM-CPLX,b0062(6),ARAI
2768,GALACTOKIN-MONOMER,b0757(1),GALKr
2769,G7096-MONOMER,b2045(1),GALKr
2770,CPLX0-1667,b2342(),ACACT6r
2771,FADA-CPLX,b3845(2),ACACT6r
2772,MALSYNG-MONOMER,b2976(1),MALS
2773,MALATE-SYNTHASE,b4014(1),MALS
2774,APHA-CPLX,b4055(4),NTD11pp
2775,USHA-MONOMER,b0480(1),NTD11pp
2776,YDEA-MONOMER,b1528(1),ARBt3ipp
2777,CPLX0-7533,b2215(3),XYLUtex
2778,CPLX0-7530,b0241(3),XYLUtex
2779,G6700-MONOMER,b1377(1),XYLUtex
2780,CPLX0-7534,b0929(3),XYLUtex
2781,CPLX0-1581,b0622(2),LIPAHTex
2782,APHA-CPLX,b4055(4),NTD8pp
2783,USHA-MONOMER,b0480(1),NTD8pp
2784,G7596-MONOMER,b3073(1),PTRCTA
2785,FADB-CPLX,b3846(2),ECOAH8
2786,CPLX0-1666,b2341(),ECOAH8
2787,FADB-CPLX,b3846(2),ECOAH6
2788,CPLX0-1666,b2341(),ECOAH6
2789,FADB-CPLX,b3846(2),ECOAH7
2790,CPLX0-1666,b2341(),ECOAH7
2791,FADB-CPLX,b3846(2),ECOAH4
2792,CPLX0-1666,b2341(),ECOAH4
2793,FADB-CPLX,b3846(2),ECOAH5
2794,CPLX0-1666,b2341(),ECOAH5
2795,FADB-CPLX,b3846(2),ECOAH2
2796,CPLX0-1666,b2341(),ECOAH2
2797,FADB-CPLX,b3846(2),ECOAH3
2798,CPLX0-1666,b2341(),ECOAH3
2799,FADB-CPLX,b3846(2),ECOAH1
2800,CPLX0-1666,b2341(),ECOAH1
2801,MHPDHYDROL-MONOMER,b0350(1),OP4ENH
2802,FPPSYN-MONOMER,b0421(1),GRTT
2803,CPLX-153,b2415(1) AND b2715(2) AND b2416(2),ARBTptspp
2804,CPLX-154,b2415(1) AND b2416(2) AND b3722(2),ARBTptspp
2805,CPLX0-7533,b2215(3),MINCYCtex
2806,CPLX0-7534,b0929(3),MINCYCtex
2807,CPLX0-7530,b0241(3),MINCYCtex
2808,G6700-MONOMER,b1377(1),MINCYCtex
2809,CPLX0-7533,b2215(3),G6Ptex
2810,CPLX0-7530,b0241(3),G6Ptex
2811,G6700-MONOMER,b1377(1),G6Ptex
2812,CPLX0-7534,b0929(3),G6Ptex
2813,CPLX0-7533,b2215(3),TYMtex
2814,CPLX0-7530,b0241(3),TYMtex
2815,G6700-MONOMER,b1377(1),TYMtex
2816,CPLX0-7534,b0929(3),TYMtex
2817,CPLX0-1924,b3966() AND b1252() AND b3005() AND b3006(),ADOCBLtonex
2818,L-ASPARTATE-OXID-MONOMER,b2574(1),ASPO3
2819,CPLX0-3929,b2708(4),A5PISO
2820,CPLX0-1262,b3197(4),A5PISO
2821,ARGSUCCINLYA-MONOMER,b3960(1),ARGSL
2822,LYSP-MONOMER,b2156(1),LYSt2pp
2823,PYRUVFORMLY-INACTIVE-CPLX,b0903(2),OBTFL
2824,PYRUVFORMLY-MONOMER_EG11784-MONOMER,b2579(1) AND b0903(1),OBTFL
2825,KETOBUTFORMLY-INACT-MONOMER,b3114(1),OBTFL
2826,UDP-NACMUR-ALA-LIG-MONOMER,b0091(1),UAMAS
2827,CPLX0-238,b3172(4),ARGSS
2828,NITRATREDUCTA-CPLX,b1227(1) AND b1225(1) AND b1224(1),NO3R1pp
2829,NITRATREDUCTZ-CPLX,b1468(1) AND b1465(1) AND b1467(1),NO3R1pp
2830,DIHYDROFOLATEREDUCT-MONOMER,b0048(1),DHFR
2831,G6862-MONOMER,b1606(1),DHFR
2832,CARDIOLIPSYN-MONOMER,b1249(1),CLPNS160pp
2833,G6406-MONOMER,b0789(1),CLPNS160pp
2834,PANF-MONOMER,b3258(1),PNTOt4pp
2835,PHENDEHYD-CPLX,b1385(2),ALDD19xr
2836,CPLX0-7704,b0914(2),PGP180abcpp
2837,UDP-NACMURALGLDAPAALIG-MONOMER,b0086(1),UGMDDS
2838,CPLX0-7533,b2215(3),4PEPTtex
2839,CPLX0-7530,b0241(3),4PEPTtex
2840,G6700-MONOMER,b1377(1),4PEPTtex
2841,CPLX0-7534,b0929(3),4PEPTtex
2842,ANSA-CPLX,b1767(2),ASNN
2843,EG12407-MONOMER,b0828(1),ASNN
2844,MONOMER0-341,b3821(1),PLIPA1A140pp
2845,ABC-35-CPLX,b2200(1) AND b2201(2) AND b2197(1) AND b2198(1) AND b2199(1),PHEMEabcpp
2846,EG11373-MONOMER,b2558(1),MLTGY1pp
2847,G7410-MONOMER,b2701(1),MLTGY1pp
2848,G7457-MONOMER,b2813(1),MLTGY1pp
2849,EG10950-MONOMER,b4392(1),MLTGY1pp
2850,G7533-MONOMER,b2963(1),MLTGY1pp
2851,G6622-MONOMER,b1193(1),MLTGY1pp
2852,CPLX0-7630,b0494(4),LPLIPAL1G160pp
2853,CPLX0-7533,b2215(3),ADEtex
2854,CPLX0-7530,b0241(3),ADEtex
2855,G6700-MONOMER,b1377(1),ADEtex
2856,CPLX0-7534,b0929(3),ADEtex
2857,CPLX0-1943,b4291() AND b1252() AND b3005() AND b3006(),FE3DCITtonex
2858,PROPKIN-MONOMER,b3115(1),ACKr
2859,ACETATEKINA-MONOMER,b2296(1),ACKr
2860,GARTRANSFORMYL2-MONOMER,b1849(1),ACKr
2861,CPLX0-7533,b2215(3),RIBtex
2862,CPLX0-7530,b0241(3),RIBtex
2863,G6700-MONOMER,b1377(1),RIBtex
2864,CPLX0-7534,b0929(3),RIBtex
2865,DIHYDROOROT-CPLX,b1062(2),DHORTS
2866,NUPG-MONOMER,b2964(1),DGSNt2pp
2867,PEPCARBOX-CPLX,b3956(4),PPC
2868,PPX-CPLX,b2502(2),PPA
2869,CPLX0-243,b4226(6),PPA
2870,EG11817-MONOMER,b2744(1),PPA
2871,FORMATEDEHYDROGO-CPLX,b3892(1) AND b3893(1) AND b3894(1),FDH5pp
2872,FORMATEDEHYDROGN-CPLX,b1475(3) AND b1474(3) AND b1476(3),FDH5pp
2873,RIBAZOLEPHOSPHAT-MONOMER,b0638(1),RZ5PP
2874,XAPB-MONOMER,b2406(1),URIt2rpp
2875,G7732-MONOMER,b3380(1),PPM
2876,PPENTOMUT-MONOMER,b4383(1),PPM
2877,PEPSYNTH-CPLX,b1702(2),PPS
2878,GLYCPDIESTER-CYTO-MONOMER,b3449(1),GPDDA4
2879,GLYCPDIESTER-CYTO-MONOMER,b3449(1),GPDDA5
2880,GLYCRIBONUCSYN-MONOMER,b4005(1),PRAGSr
2881,GLYCPDIESTER-CYTO-MONOMER,b3449(1),GPDDA1
2882,CPLX0-1962,b1539(4),ATHRDHr
2883,GLYCPDIESTER-CYTO-MONOMER,b3449(1),GPDDA3
2884,B2789-MONOMER,b2789(1),GLYCAt2rpp
2885,YHAU-MONOMER,b3127(1),GLYCAt2rpp
2886,SHIA-MONOMER,b1981(1),SKMt2pp
2887,EG10280-MONOMER,b2344(1),OCDCAtexi
2888,ANTHRANSYN-CPLX,b1263(2) AND b1264(2),ANS
2889,EG10669-MONOMER,b0957(1),H2Otex
2890,CPLX0-7533,b2215(3),H2Otex
2891,CPLX0-7530,b0241(3),H2Otex
2892,G6657-MONOMER,b1319(1),H2Otex
2893,CPLX0-7534,b0929(3),H2Otex
2894,G7814-MONOMER,b3875(1),H2Otex
2895,G6700-MONOMER,b1377(1),H2Otex
2896,MONOMER0-341,b3821(1),PLIPA2G161pp
2897,CPLX0-7641,b3915(2),ZN2t3pp
2898,B0752-MONOMER,b0752(1),ZN2t3pp
2899,ACETYLORNTRANSAM-CPLX,b3359(2),SDPTA
